country_,entropy
Peru_-1,5.984476807535226
Argentina_-1,5.4057414591540125
Venezuela_-1,5.398248689605221
Colombia_-1,5.643202441319533
Chile_-1,5.64767717668937
Mexico_-1,5.844387257297104
Spain_-1,5.638617391255979
Peru_0,5.780587893114741
Argentina_0,5.449579100029826
Venezuela_0,5.320527782390504
Colombia_0,5.59848658617008
Chile_0,5.656943621648753
Mexico_0,5.7939084340880225
Peru_-1,5.984476807535226
Argentina_-1,5.4057414591540125
Venezuela_-1,5.398248689605221
Colombia_-1,5.643202441319533
Chile_-1,5.64767717668937
Mexico_-1,5.844387257297104
Spain_-1,5.638617391255979
Peru_0.3,5.783340787238269
Argentina_0.3,5.422840427863185
Venezuela_0.3,5.381643932563809
Colombia_0.3,5.580869392281232
Chile_0.3,5.649584443013087
Mexico_0.3,5.788909849602771
Peru_-1,5.984476807535226
Argentina_-1,5.4057414591540125
Venezuela_-1,5.398248689605221
Colombia_-1,5.643202441319533
Chile_-1,5.64767717668937
Mexico_-1,5.844387257297104
Spain_-1,5.638617391255979
Peru_0.6,5.752846754399319
Argentina_0.6,5.4684650693711445
Venezuela_0.6,5.355892050360273
Colombia_0.6,5.611979742158994
Chile_0.6,5.727141503676482
Mexico_0.6,5.8235259239411965
Peru_-1,5.984476807535226
Argentina_-1,5.4057414591540125
Venezuela_-1,5.398248689605221
Colombia_-1,5.643202441319533
Chile_-1,5.64767717668937
Mexico_-1,5.844387257297104
Spain_-1,5.638617391255979
Peru_0.9,5.833732112895395
Argentina_0.9,5.551235078855097
Venezuela_0.9,5.4081947509193435
Colombia_0.9,5.669213485507108
Chile_0.9,5.781457017059994
Mexico_0.9,5.918660650362794
